px,py,pz,B
0.5,0.25,0.25,27.33
0.5,0.25,0.5,27.69
0.5,0.25,0.75,26.07
0.5,0.25,1.0,26.5
0.5,0.25,1.25,25.46
0.5,0.25,1.5,25.14
0.5,0.5,0.0,28.43
0.5,0.5,0.25,28.79
0.5,0.5,0.5,28.74
0.5,0.5,0.75,27.5
0.5,0.5,1.0,27.54
0.5,0.5,1.25,26.43
0.5,0.5,1.5,25.74
0.5,0.75,0.0,29.74
0.5,0.75,0.25,29.91
0.5,0.75,0.5,29.61
0.5,0.75,0.75,28.49
0.5,0.75,1.0,26.87
0.5,0.75,1.25,26.4
0.5,0.75,1.5,25.31
0.5,1.0,0.0,29.02
0.5,1.0,0.25,30.04
0.5,1.0,0.5,29.36
0.5,1.0,0.75,28.3
0.5,1.0,1.0,27.2
0.5,1.0,1.25,26.68
0.5,1.0,1.5,25.84
0.5,1.25,0.0,29.8
0.5,1.25,0.25,29.59
0.5,1.25,0.5,29.69
0.5,1.25,0.75,29.02
0.5,1.25,1.0,27.9
0.5,1.25,1.25,25.51
0.5,1.25,1.5,26.11
0.5,1.5,0.0,28.59
0.5,1.5,0.25,28.88
0.5,1.5,0.5,28.61
0.5,1.5,0.75,27.96
0.5,1.5,1.0,27.1
0.5,1.5,1.25,25.99
0.5,1.5,1.5,24.64
0.75,0.0,0.0,27.4
0.75,0.0,0.25,27.3
0.75,0.0,0.5,27.87
0.75,0.0,0.75,26.86
0.75,0.0,1.0,26.38
0.75,0.0,1.25,25.36
0.75,0.0,1.5,24.89
0.75,0.25,0.0,28.97
0.75,0.25,0.25,28.68
0.75,0.25,0.5,29.1
0.75,0.25,0.75,28.18
0.75,0.25,1.0,26.8
0.75,0.25,1.25,25.39
0.75,0.25,1.5,25.75
0.75,0.5,0.0,30.63
0.75,0.5,0.25,31.0
0.75,0.5,0.5,30.65
0.75,0.5,0.75,30.32
0.75,0.5,1.0,28.2
0.75,0.5,1.25,27.01
0.75,0.5,1.5,25.35
0.75,0.75,0.0,32.97
0.75,0.75,0.25,33.33
0.75,0.75,0.5,32.74
0.75,0.75,0.75,30.76
0.75,0.75,1.0,29.35
0.75,0.75,1.25,27.59
0.75,0.75,1.5,26.48
0.75,1.0,0.0,32.9
0.75,1.0,0.25,33.12
0.75,1.0,0.5,33.38
0.75,1.0,0.75,30.44
0.75,1.0,1.0,29.18
0.75,1.0,1.25,27.54
0.75,1.0,1.5,25.93
0.75,1.25,0.0,32.56
0.75,1.25,0.25,32.88
0.75,1.25,0.5,32.14
0.75,1.25,0.75,30.95
0.75,1.25,1.0,28.79
0.75,1.25,1.25,28.0
0.75,1.25,1.5,26.38
0.75,1.5,0.0,30.56
0.75,1.5,0.25,30.43
0.75,1.5,0.5,30.22
0.75,1.5,0.75,30.03
0.75,1.5,1.0,28.2
0.75,1.5,1.25,26.86
0.75,1.5,1.5,26.61
1.0,0.0,0.0,27.94
1.0,0.0,0.25,28.47
1.0,0.0,0.5,28.27
1.0,0.0,0.75,28.04
1.0,0.0,1.0,26.71
1.0,0.0,1.25,25.89
1.0,0.0,1.5,24.76
1.0,0.25,0.0,31.04
1.0,0.25,0.25,31.53
1.0,0.25,0.5,30.55
1.0,0.25,0.75,29.66
1.0,0.25,1.0,27.71
1.0,0.25,1.25,26.78
1.0,0.25,1.5,26.5
1.0,0.5,0.0,33.76
1.0,0.5,0.25,35.48
1.0,0.5,0.5,33.39
1.0,0.5,0.75,31.96
1.0,0.5,1.0,29.51
1.0,0.5,1.25,28.03
1.0,0.5,1.5,26.46
1.0,0.75,0.0,36.47
1.0,0.75,0.25,37.71
1.0,0.75,0.5,37.92
1.0,0.75,0.75,33.68
1.0,0.75,1.0,29.94
1.0,0.75,1.25,28.2
1.0,0.75,1.5,27.1
1.0,1.0,0.0,37.86
1.0,1.0,0.25,40.25
1.0,1.0,0.5,38.46
1.0,1.0,0.75,34.5
1.0,1.0,1.0,31.02
1.0,1.0,1.25,28.31
1.0,1.0,1.5,26.69
1.0,1.25,0.0,36.1
1.0,1.25,0.25,38.54
1.0,1.25,0.5,37.33
1.0,1.25,0.75,33.2
1.0,1.25,1.0,30.27
1.0,1.25,1.25,27.75
1.0,1.25,1.5,26.45
1.0,1.5,0.0,32.46
1.0,1.5,0.25,34.1
1.0,1.5,0.5,34.23
1.0,1.5,0.75,31.59
1.0,1.5,1.0,29.93
1.0,1.5,1.25,27.61
1.0,1.5,1.5,27.16
1.25,0.0,0.0,29.35
1.25,0.0,0.25,29.44
1.25,0.0,0.5,30.29
1.25,0.0,0.75,28.33
1.25,0.0,1.0,26.95
1.25,0.0,1.25,26.54
1.25,0.0,1.5,25.6
1.25,0.25,0.0,32.74
1.25,0.25,0.25,32.6
1.25,0.25,0.5,32.63
1.25,0.25,0.75,31.09
1.25,0.25,1.0,28.71
1.25,0.25,1.25,27.51
1.25,0.25,1.5,25.91
1.25,0.5,0.0,37.63
1.25,0.5,0.25,37.78
1.25,0.5,0.5,36.51
1.25,0.5,0.75,33.28
1.25,0.5,1.0,30.61
1.25,0.5,1.25,28.46
1.25,0.5,1.5,27.14
1.25,0.75,0.0,41.48
1.25,0.75,0.25,44.19
1.25,0.75,0.5,41.16
1.25,0.75,0.75,36.36
1.25,0.75,1.0,33.41
1.25,0.75,1.25,29.69
1.25,0.75,1.5,26.96
1.25,1.0,0.0,43.73
1.25,1.0,0.25,47.17
1.25,1.0,0.5,44.26
1.25,1.0,0.75,38.07
1.25,1.0,1.0,32.67
1.25,1.0,1.25,29.08
1.25,1.0,1.5,28.01
1.25,1.25,0.0,41.91
1.25,1.25,0.25,44.12
1.25,1.25,0.5,41.64
1.25,1.25,0.75,36.48
1.25,1.25,1.0,31.14
1.25,1.25,1.25,29.32
1.25,1.25,1.5,26.85
1.25,1.5,0.0,36.29
1.25,1.5,0.25,37.8
1.25,1.5,0.5,36.99
1.25,1.5,0.75,33.24
1.25,1.5,1.0,30.17
1.25,1.5,1.25,28.71
1.25,1.5,1.5,27.13
1.5,0.0,0.0,29.21
1.5,0.0,0.25,30.17
1.5,0.0,0.5,29.48
1.5,0.0,0.75,28.83
1.5,0.0,1.0,27.11
1.5,0.0,1.25,26.91
1.5,0.0,1.5,26.18
1.5,0.25,0.0,33.22
1.5,0.25,0.25,33.93
1.5,0.25,0.5,31.46
1.5,0.25,0.75,31.32
1.5,0.25,1.0,29.26
1.5,0.25,1.25,27.56
1.5,0.25,1.5,26.09
1.5,0.5,0.0,38.08
1.5,0.5,0.25,39.87
1.5,0.5,0.5,37.95
1.5,0.5,0.75,34.37
1.5,0.5,1.0,31.7
1.5,0.5,1.25,28.27
1.5,0.5,1.5,27.38
1.5,0.75,0.0,44.34
1.5,0.75,0.25,47.24
1.5,0.75,0.5,44.15
1.5,0.75,0.75,37.69
1.5,0.75,1.0,33.23
1.5,0.75,1.25,29.73
1.5,0.75,1.5,27.22
1.5,1.0,0.0,47.12
1.5,1.0,0.25,52.12
1.5,1.0,0.5,47.95
1.5,1.0,0.75,39.66
1.5,1.0,1.0,33.87
1.5,1.0,1.25,29.79
1.5,1.0,1.5,27.64
1.5,1.25,0.0,44.15
1.5,1.25,0.25,47.68
1.5,1.25,0.5,43.66
1.5,1.25,0.75,38.32
1.5,1.25,1.0,32.87
1.5,1.25,1.25,29.74
1.5,1.25,1.5,27.3
1.5,1.5,0.0,38.19
1.5,1.5,0.25,39.28
1.5,1.5,0.5,38.54
1.5,1.5,0.75,33.88
1.5,1.5,1.0,30.8
1.5,1.5,1.25,28.8
1.5,1.5,1.5,27.56
1.75,0.0,0.0,29.38
1.75,0.0,0.25,29.49
1.75,0.0,0.5,28.7
1.75,0.0,0.75,28.38
1.75,0.0,1.0,27.43
1.75,0.0,1.25,27.13
1.75,0.0,1.5,25.87
1.75,0.25,0.0,31.7
1.75,0.25,0.25,33.78
1.75,0.25,0.5,32.15
1.75,0.25,0.75,30.39
1.75,0.25,1.0,29.57
1.75,0.25,1.25,27.42
1.75,0.25,1.5,26.09
1.75,0.5,0.0,36.78
1.75,0.5,0.25,38.4
1.75,0.5,0.5,37.09
1.75,0.5,0.75,33.16
1.75,0.5,1.0,31.54
1.75,0.5,1.25,28.84
1.75,0.5,1.5,26.68
1.75,0.75,0.0,41.4
1.75,0.75,0.25,43.88
1.75,0.75,0.5,41.78
1.75,0.75,0.75,36.43
1.75,0.75,1.0,32.0
1.75,0.75,1.25,29.6
1.75,0.75,1.5,27.42
1.75,1.0,0.0,44.11
1.75,1.0,0.25,47.86
1.75,1.0,0.5,44.81
1.75,1.0,0.75,37.62
1.75,1.0,1.0,32.72
1.75,1.0,1.25,29.97
1.75,1.0,1.5,27.73
1.75,1.25,0.0,41.82
1.75,1.25,0.25,44.73
1.75,1.25,0.5,41.29
1.75,1.25,0.75,36.1
1.75,1.25,1.0,31.96
1.75,1.25,1.25,29.32
1.75,1.25,1.5,26.96
1.75,1.5,0.0,36.5
1.75,1.5,0.25,37.67
1.75,1.5,0.5,36.45
1.75,1.5,0.75,33.31
1.75,1.5,1.0,30.89
1.75,1.5,1.25,28.78
1.75,1.5,1.5,26.64
2.0,0.0,0.0,28.37
2.0,0.0,0.25,28.48
2.0,0.0,0.5,28.67
2.0,0.0,0.75,27.84
2.0,0.0,1.0,27.61
2.0,0.0,1.25,25.7
2.0,0.0,1.5,25.55
2.0,0.25,0.0,30.92
2.0,0.25,0.25,31.07
2.0,0.25,0.5,30.98
2.0,0.25,0.75,29.02
2.0,0.25,1.0,29.07
2.0,0.25,1.25,26.43
2.0,0.25,1.5,26.32
2.0,0.5,0.0,33.26
2.0,0.5,0.25,35.02
2.0,0.5,0.5,33.55
2.0,0.5,0.75,31.79
2.0,0.5,1.0,29.61
2.0,0.5,1.25,28.25
2.0,0.5,1.5,26.33
2.0,0.75,0.0,35.51
2.0,0.75,0.25,37.76
2.0,0.75,0.5,36.77
2.0,0.75,0.75,33.53
2.0,0.75,1.0,31.05
2.0,0.75,1.25,28.86
2.0,0.75,1.5,26.77
2.0,1.0,0.0,37.46
2.0,1.0,0.25,40.26
2.0,1.0,0.5,38.49
2.0,1.0,0.75,34.44
2.0,1.0,1.0,32.05
2.0,1.0,1.25,28.57
2.0,1.0,1.5,26.52
2.0,1.25,0.0,36.63
2.0,1.25,0.25,38.49
2.0,1.25,0.5,36.32
2.0,1.25,0.75,34.49
2.0,1.25,1.0,30.39
2.0,1.25,1.25,28.84
2.0,1.25,1.5,27.05
2.0,1.5,0.0,33.65
2.0,1.5,0.25,34.99
2.0,1.5,0.5,33.11
2.0,1.5,0.75,32.27
2.0,1.5,1.0,29.57
2.0,1.5,1.25,27.59
2.0,1.5,1.5,26.76
